iter	Passed	Remaining
0	158	157916
1	174	86920
2	190	63458
3	207	51586
4	212	42318
5	229	37973
6	245	34778
7	262	32513
8	278	30688
9	296	29391
10	314	28236
11	330	27245
12	347	26405
13	365	25752
14	382	25130
15	399	24576
16	416	24068
17	432	23590
18	449	23186
19	465	22814
20	482	22480
21	498	22179
22	510	21669
23	531	21608
24	550	21471
25	570	21358
26	593	21389
27	612	21262
28	629	21064
29	645	20872
30	661	20686
31	678	20513
32	695	20376
33	711	20223
34	728	20078
35	745	19970
36	762	19834
37	779	19725
38	796	19621
39	812	19505
40	829	19398
41	845	19286
42	861	19177
43	878	19091
44	895	18998
45	912	18930
46	929	18849
47	945	18749
48	961	18668
49	978	18594
50	994	18503
51	1010	18428
52	1026	18341
53	1043	18281
54	1060	18216
55	1076	18147
56	1092	18077
57	1109	18024
58	1126	17974
59	1143	17917
60	1159	17852
61	1176	17795
62	1192	17740
63	1210	17699
64	1226	17645
65	1243	17590
66	1259	17542
67	1276	17496
68	1292	17439
69	1309	17391
70	1325	17346
71	1342	17308
72	1359	17270
73	1376	17223
74	1392	17174
75	1409	17133
76	1426	17101
77	1443	17057
78	1459	17009
79	1476	16979
80	1493	16941
81	1509	16901
82	1526	16865
83	1542	16824
84	1559	16786
85	1575	16746
86	1592	16709
87	1609	16676
88	1625	16640
89	1642	16606
90	1658	16570
91	1675	16533
92	1691	16495
93	1707	16461
94	1724	16424
95	1740	16392
96	1757	16361
97	1774	16333
98	1791	16300
99	1808	16272
100	1826	16253
101	1848	16274
102	1869	16280
103	1891	16299
104	1911	16294
105	1927	16259
106	1944	16227
107	1960	16194
108	1977	16164
109	1994	16138
110	2010	16101
111	2027	16079
112	2044	16051
113	2061	16023
114	2077	15990
115	2094	15961
116	2110	15931
117	2127	15904
118	2145	15880
119	2161	15851
120	2177	15820
121	2194	15792
122	2211	15769
123	2227	15737
124	2244	15709
125	2260	15680
126	2276	15652
127	2293	15627
128	2311	15606
129	2328	15580
130	2344	15554
131	2361	15528
132	2378	15508
133	2395	15479
134	2411	15454
135	2429	15436
136	2446	15412
137	2464	15394
138	2481	15370
139	2498	15346
140	2515	15324
141	2532	15304
142	2549	15280
143	2566	15259
144	2585	15243
145	2602	15221
146	2619	15197
147	2636	15178
148	2652	15152
149	2670	15130
150	2687	15109
151	2705	15092
152	2722	15071
153	2739	15051
154	2758	15039
155	2776	15023
156	2794	15005
157	2814	14998
158	2833	14987
159	2853	14980
