iter	Passed	Remaining
0	135	134918
1	135	67777
2	136	45352
3	137	34119
4	137	27369
5	138	22876
6	138	19709
7	139	17308
8	140	15431
9	140	13926
10	141	12692
11	141	11661
12	142	10788
13	142	10042
14	143	9393
15	143	8840
16	144	8352
17	145	7912
18	145	7515
19	146	7157
20	146	6833
21	147	6541
22	147	6275
23	148	6028
24	148	5800
25	149	5610
26	150	5422
27	151	5245
28	151	5079
29	152	4924
30	152	4777
31	153	4639
32	153	4510
33	154	4388
34	156	4310
35	158	4238
36	158	4135
37	159	4036
38	159	3942
39	160	3852
40	161	3769
41	161	3690
42	162	3616
43	163	3544
44	163	3476
45	164	3409
46	164	3345
47	165	3283
48	166	3224
49	166	3169
50	167	3115
51	168	3063
52	168	3019
53	169	2970
54	170	2922
55	170	2878
56	171	2834
57	171	2791
58	172	2753
59	173	2713
60	173	2676
61	174	2640
62	175	2604
63	175	2568
64	176	2533
65	176	2499
66	177	2466
67	177	2437
68	178	2407
69	179	2378
70	179	2351
71	180	2323
72	180	2297
73	181	2271
74	182	2246
75	182	2220
76	183	2195
77	183	2173
78	184	2151
79	185	2130
80	186	2111
81	186	2091
82	187	2068
83	187	2049
84	188	2030
85	189	2012
86	190	1995
87	190	1977
88	191	1959
89	192	1941
90	193	1930
91	193	1912
92	194	1894
93	194	1877
94	195	1864
95	196	1848
96	196	1833
97	197	1818
98	198	1803
99	198	1788
100	199	1773
101	199	1758
102	200	1743
103	200	1728
104	201	1713
105	201	1701
106	202	1689
107	202	1676
108	203	1662
109	203	1649
110	204	1637
111	204	1624
112	205	1612
113	205	1600
114	206	1589
115	207	1577
116	207	1567
117	208	1557
118	209	1548
119	209	1538
120	210	1527
121	210	1516
122	211	1507
123	211	1496
124	212	1486
125	212	1477
126	213	1467
127	214	1459
128	214	1449
129	215	1441
130	216	1433
131	216	1423
132	217	1414
133	217	1405
134	217	1396
135	218	1387
136	218	1378
137	219	1369
138	219	1361
139	220	1354
140	221	1346
141	221	1337
142	221	1330
143	222	1322
144	222	1314
145	223	1306
146	223	1298
147	224	1290
148	224	1283
149	225	1276
150	225	1270
151	226	1263
152	226	1256
153	227	1249
154	227	1242
155	228	1236
156	229	1230
157	229	1223
158	230	1216
159	230	1210
160	230	1203
161	231	1196
162	231	1190
163	232	1184
164	232	1178
165	233	1172
166	233	1166
167	234	1160
168	234	1154
169	235	1148
170	235	1143
171	236	1137
172	236	1131
173	237	1125
174	237	1120
175	238	1117
176	239	1114
177	240	1110
178	240	1105
179	241	1100
180	242	1095
181	242	1090
182	243	1085
183	243	1079
184	244	1075
185	244	1071
186	245	1066
187	245	1061
188	246	1057
189	246	1052
190	247	1048
191	247	1043
192	248	1038
